,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
152,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1981,Pup production estimates for islands in the Outer Hebrides group.  [Total pup production for Monachs],26,-68.03236981,0.034492799,2.587756581,0.001302424,2.95E-20,2.45E-20,5323.5,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
153,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1982,Pup production estimates for islands in the Orkney group,28,-27.04585786,0.013815736,8.760206213,0.004410859,0.004520502,0.004039875,594.9,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
154,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1983,Pup production estimates for islands in the Inner Hebrides group,16,-112.8401846,0.056903902,8.432296904,0.004232004,4.18E-10,3.89E-10,247.7222222,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
155,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1984,Pup production estimates for islands in the Outer Hebrides group.  ,26,56.66289643,-0.028304001,8.792445903,0.004425259,7.90E-07,8.93E-07,1463.071429,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
156,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1985,Pup production estimates for islands in the Inner Hebrides group,16,-77.57555886,0.039191309,18.11240619,0.009090261,0.000570517,0.00053779,149.1666667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
157,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1986,Total pup production estimates for islands in the Orkney group,28,-63.99077656,0.032393116,4.327873146,0.002179131,9.35E-15,8.18E-15,7676.366667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
158,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1987,Total pup production estimates for islands in the Outer Hebrides group.  ,26,-63.99443172,0.032472465,3.798224044,0.001911655,1.65E-15,1.36E-15,9365.214286,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
159,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1988,Pup production estimates for islands in the Orkney group,28,0.621669319,-0.000147601,7.922106269,0.003988866,0.938010147,0.970744949,72.46666667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
160,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1989,Pup production estimates for islands in the Orkney group,27,44.06358897,-0.022089701,9.513471668,0.004791384,8.19E-05,8.68E-05,27.75862069,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
161,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1990,Pup production estimates for islands in the Orkney group,28,-18.84615101,0.009798827,9.592929611,0.004830144,0.059456659,0.052097277,217.8333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
162,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1991,Estimated size of the total female grey seal population associated with all major,16,-115.1594676,0.05801311,3.464545677,0.001738787,3.41E-16,3.21E-16,43391.44444,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
